"","player.name","player.id","team.name","minutes_played","matches_played","matches_started","sub_apps","most_played_position","position.id","passes_completed","passes_attempted","progressive_passes_completed","progressive_passes_attempted","distanced_progressed_passes","final_3rd_passes_completed","final_3rd_passes_attempted","penalty_box_passes_completed","penalty_box_passes_attempted","assists","xGA","key_passes","short_passes_completed","short_passes_attempted","medium_passes_completed","medium_passes_attempted","long_passes_completed","long_passes_attempted","through_balls_completed","through_balls_attempted","switches_completed","switches_attempted","passes_under_pressure_completed","passes_under_pressure_attempted","crosses_completed","crosses_attempted","passes_completion_rate","progressive_passes_completion_rate","final_3rd_passes_completion_rate","penalty_box_passes_completion_rate","crosses_completion_rate","switches_completion_rate","through_balls_completion_rate","passes_under_pressure_completion_rate","passes_completed_per90","passes_attempted_per90","progressive_passes_completed_per90","progressive_passes_attempted_per90","distanced_progressed_passes_per90","final_3rd_passes_completed_per90","final_3rd_passes_attempted_per90","penalty_box_passes_completed_per90","penalty_box_passes_attempted_per90","assists_per90","xGA_per90","key_passes_per90","short_passes_completed_per90","short_passes_attempted_per90","medium_passes_completed_per90","medium_passes_attempted_per90","long_passes_completed_per90","long_passes_attempted_per90","through_balls_completed_per90","through_balls_attempted_per90","switches_completed_per90","switches_attempted_per90","passes_under_pressure_completed_per90","passes_under_pressure_attempted_per90","crosses_completed_per90","crosses_attempted_per90","5050_completed","5050_attempted","yellow_cards","red_cards","ball_recoveries_attempted","ball_recoveries_completed","blocks_completed","blocks_SoT","clearances_completed","dribbled_past","tackles_won","tackles_attempted","errors","fouls_committed","penalties_committed","interceptions_attempted","interceptions_completed","own_goals_conceded","time_pressuring_seconds","possesion_won_defensive_3rd","possesion_won_middle_3rd","possesion_won_attacking_3rd","5050_success_rate","ball_recovery_success_rate","interception_success_rate","tackle_success_rate","5050_completed_per90","5050_attempted_per90","yellow_cards_per90","red_cards_per90","ball_recoveries_attempted_per90","ball_recoveries_completed_per90","blocks_completed_per90","blocks_SoT_per90","clearances_completed_per90","dribbled_past_per90","tackles_won_per90","tackles_attempted_per90","errors_per90","fouls_committed_per90","penalties_committed_per90","interceptions_attempted_per90","interceptions_completed_per90","own_goals_conceded_per90","time_pressuring_seconds_per90","possesion_won_defensive_3rd_per90","possesion_won_middle_3rd_per90","possesion_won_attacking_3rd_per90","carries","progressive_carries","distanced_progressed_carries","final_3rd_carries_attempted","penalty_box_carries_attempted","dribbles_completed","dribbles_attempted","times_dispossessed","miscontrols","fouls_won","penalties_won","balls_received_box","dribble_success_rate","carries_per90","progressive_carries_per90","distanced_progressed_carries_per90","final_3rd_carries_attempted_per90","penalty_box_carries_attempted_per90","dribbles_completed_per90","dribbles_attempted_per90","times_dispossessed_per90","miscontrols_per90","fouls_won_per90","penalties_won_per90","balls_received_box_per90","shots","goals","shots_off_target","blocked_shots","shots_woodwork","shots_on_target","shots_inside_box","goals_inside_box","shots_outside_box","goals_outside_box","pens_scored","pens_taken","xG","npxG","goals_direct_fk","goals_indirect_fk","goals_corners","shot_accuracy","conversion_rate","penalty_conversion_rate","inside_box_conversion_rate","outside_box_conversion_rate","outside_box_shot_rate","goals_xG_diff","shots_per90","goals_per90","shots_off_target_per90","blocked_shots_per90","shots_woodwork_per90","shots_on_target_per90","shots_inside_box_per90","goals_inside_box_per90","shots_outside_box_per90","goals_outside_box_per90","pens_scored_per90","pens_taken_per90","xG_per90","npxG_per90","goals_direct_fk_per90","goals_indirect_fk_per90","goals_corners_per90","shot_accuracy_per90","goals_xG_diff_per90","own_goals_conceded_gk","collects_completed","collects_attempted","goals_conceded_gk","sweeper","penalties_saved","penalties_faced","penalties_saved_danger","punches_completed","punches_attempted","smothers_completed","smothers_attempted","shots_saved","shots_faced_on_target","saved_danger","goals_from_gk","xG_against_gk","collect_success_rate","punch_success_rate","smother_success_rate","save_percentage","penalty_save_rate","xG_prevented","own_goals_conceded_gk_per90","collects_completed_per90","collects_attempted_per90","goals_conceded_gk_per90","sweeper_per90","penalties_saved_per90","penalties_faced_per90","penalties_saved_danger_per90","punches_completed_per90","punches_attempted_per90","smothers_completed_per90","smothers_attempted_per90","shots_saved_per90","shots_faced_on_target_per90","saved_danger_per90","goals_from_gk_per90","xG_against_gk_per90","save_percentage_per90","xG_prevented_per90","progressive_actions","distanced_progressed","passed_offside","been_offside","aerial_duel_won","aerial_duel_attempted","aerial_duel_success_rate","progressive_actions_per90","distanced_progressed_per90","passed_offside_per90","been_offside_per90","aerial_duel_won_per90","aerial_duel_attempted_per90","goals_for_on_pitch","xG_for_on_pitch","npxG_for_on_pitch","goals_against_on_pitch","xG_against_on_pitch","npxG_against_on_pitch","offsides_won_data","goals_for_counter_on_pitch","net_goals_on_pitch","net_xG_on_pitch","net_npxG_on_pitch","goals_for_on_pitch_per90","xG_for_on_pitch_per90","npxG_for_on_pitch_per90","goals_against_on_pitch_per90","xG_against_on_pitch_per90","npxG_against_on_pitch_per90","offsides_won_data_per90","goals_for_counter_on_pitch_per90","net_goals_on_pitch_per90","net_xG_on_pitch_per90","net_npxG_on_pitch_per90"
"1","Aaron Cresswell",3062,"West Ham United",3570.9,37,37,0,"Left Back",6,1402,1874,231,386,5323.1,173,319,43,124,4,3.55,45,605,675,567,705,215,422,0,2,27,45,135,204,28,93,74.81,59.84,54.23,34.68,30.11,60,0,66.18,35.34,47.23,5.82,9.73,134.16,4.36,8.04,1.08,3.13,0.1,0.09,1.13,15.25,17.01,14.29,17.77,5.42,10.64,0,0.05,0.68,1.13,3.4,5.14,0.71,2.34,0,2,1,0,169,156,77,1,107,21,24,44,5,26,0,38,21,0,167.31,76,67,36,0,92.31,55.26,54.55,0,0.05,0.03,0,4.26,3.93,1.94,0.03,2.7,0.53,0.6,1.11,0.13,0.66,0,0.96,0.53,0,4.22,1.92,1.69,0.91,1292,63,1180.4,53,14,16,34,26,28,35,0,39,47.06,32.56,1.59,29.75,1.34,0.35,0.4,0.86,0.66,0.71,0.88,0,0.98,27,2,21,10,1,6,12,1,15,1,0,0,0.8,0.8,0,0,0,22.22,7.41,0,8.33,6.67,80,1.2,0.68,0.05,0.53,0.25,0.03,0.15,0.3,0.03,0.38,0.03,0,0,0.02,0.02,0,0,0,0.56,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,6503.5,11,1,58,106,54.72,7.41,163.91,0.28,0.03,1.46,2.67,62,53.06,49.92,49,53.07,53.07,73,3,13,-0.02,-3.15,1.56,1.34,1.26,1.23,1.34,1.34,1.84,0.08,0.33,0,-0.08
"2","Aaron Lennon",3953,"Everton",1659.45,25,17,8,"Right Wing",17,402,516,45,63,804.9,33,49,12,29,0,1.53,21,215,251,155,187,23,42,1,2,2,4,74,90,8,26,77.91,71.43,67.35,41.38,30.77,50,50,82.22,21.8,27.99,2.44,3.42,43.65,1.79,2.66,0.65,1.57,0,0.08,1.14,11.66,13.61,8.41,10.14,1.25,2.28,0.05,0.11,0.11,0.22,4.01,4.88,0.43,1.41,0,0,1,0,63,61,32,0,12,28,15,30,0,16,0,14,9,0,171.13,17,27,29,0,96.83,64.29,50,0,0,0.05,0,3.42,3.31,1.74,0,0.65,1.52,0.81,1.63,0,0.87,0,0.76,0.49,0,9.28,0.92,1.46,1.57,517,53,1083.8,29,29,19,39,18,23,26,1,42,48.72,28.04,2.87,58.78,1.57,1.57,1.03,2.12,0.98,1.25,1.41,0.05,2.28,18,5,7,3,0,11,11,4,7,1,0,0,1.95,1.95,0,0,0,61.11,27.78,0,36.36,14.29,157.14,3.05,0.98,0.27,0.38,0.16,0,0.6,0.6,0.22,0.38,0.05,0,0,0.11,0.11,0,0,0,3.31,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1888.7,1,1,0,17,0,5.32,102.43,0.05,0.05,0,0.92,21,22.18,19.05,24,26.73,26.73,23,2,-3,-4.55,-7.68,1.14,1.2,1.03,1.3,1.45,1.45,1.25,0.11,-0.16,-0.25,-0.42
"3","Aaron Ramsey",3517,"Arsenal",2794.5,31,29,2,"Left Defensive Midfield",11,1855,2197,300,424,5502.6,202,286,58,126,4,3.44,38,812,916,815,916,189,274,0,12,29,40,235,319,11,35,84.43,70.75,70.63,46.03,31.43,72.5,0,73.67,59.74,70.76,9.66,13.66,177.22,6.51,9.21,1.87,4.06,0.13,0.11,1.22,26.15,29.5,26.25,29.5,6.09,8.82,0,0.39,0.93,1.29,7.57,10.27,0.35,1.13,2,2,4,0,233,212,57,0,31,76,57,88,1,61,0,32,21,0,356.37,75,100,67,100,90.99,65.62,64.77,0.06,0.06,0.13,0,7.5,6.83,1.84,0,1,2.45,1.84,2.83,0.03,1.96,0,1.03,0.68,0,11.48,2.42,3.22,2.16,1958,82,1477.6,89,19,41,68,63,61,57,0,144,60.29,63.06,2.64,47.59,2.87,0.61,1.32,2.19,2.03,1.96,1.84,0,4.64,67,5,47,23,0,20,42,5,25,0,0,0,7.42,7.42,0,1,0,29.85,7.46,0,11.9,0,168,-2.42,2.16,0.16,1.51,0.74,0,0.64,1.35,0.16,0.81,0,0,0,0.24,0.24,0,0.03,0,0.96,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,6980.2,8,5,29,66,43.94,12.3,224.81,0.26,0.16,0.93,2.13,41,46.9,46.12,26,27.49,27.49,76,2,15,19.4,18.62,1.32,1.51,1.49,0.84,0.89,0.89,2.45,0.06,0.48,0.62,0.6
"4","Adam Federici",24888,"AFC Bournemouth",525.9,6,6,0,"Goalkeeper",1,97,130,0,0,0,0,4,0,0,0,0,0,10,10,47,47,40,73,0,0,3,3,2,8,0,0,74.62,0,0,0,0,100,0,25,16.6,22.25,0,0,0,0,0.68,0,0,0,0,0,1.71,1.71,8.04,8.04,6.85,12.49,0,0,0.51,0.51,0.34,1.37,0,0,0,0,0,0,27,27,0,0,0,1,0,0,1,0,0,0,0,0,0,27,0,0,0,100,0,0,0,0,0,0,4.62,4.62,0,0,0,0.17,0,0,0.17,0,0,0,0,0,0,4.62,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,1,0,3,5,0,0,14,29,9,0,9.08,50,60,0,48.28,0,-4.92,0,0.17,0.34,2.4,0,0,0.17,0,0.51,0.86,0,0,2.4,4.96,1.54,0,1.55,8.26,-0.84,0,0,1,0,0,0,0,0,0,0.17,0,0,0,3,5.37,5.37,15,9.08,9.08,10,0,-12,-3.71,-3.71,0.51,0.92,0.92,2.57,1.55,1.55,1.71,0,-2.05,-0.63,-0.63
"5","Adam Johnson",42902,"Sunderland",1248.55,19,11,8,"Right Wing",17,443,600,103,175,2599.7,78,128,39,87,5,2.58,30,169,195,159,191,110,195,6,11,30,44,83,114,8,22,73.83,58.86,60.94,44.83,36.36,68.18,54.55,72.81,31.93,43.25,7.42,12.61,187.4,5.62,9.23,2.81,6.27,0.36,0.19,2.16,12.18,14.06,11.46,13.77,7.93,14.06,0.43,0.79,2.16,3.17,5.98,8.22,0.58,1.59,0,2,3,0,74,72,23,0,7,14,8,11,0,8,0,10,7,0,70.25,33,29,20,0,97.3,70,72.73,0,0.14,0.22,0,5.33,5.19,1.66,0,0.5,1.01,0.58,0.79,0,0.58,0,0.72,0.5,0,5.06,2.38,2.09,1.44,543,27,523.2,22,2,14,24,24,18,16,0,13,58.33,39.14,1.95,37.71,1.59,0.14,1.01,1.73,1.73,1.3,1.15,0,0.94,16,2,13,3,2,3,4,1,12,1,1,1,1.76,0.98,1,0,0,18.75,12.5,100,25,8.33,33.33,0.24,1.15,0.14,0.94,0.22,0.14,0.22,0.29,0.07,0.87,0.07,0.07,0.07,0.13,0.07,0.07,0,0,1.35,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,3122.9,2,2,6,17,35.29,9.37,225.11,0.14,0.14,0.43,1.23,19,15.69,14.91,26,25.12,25.12,22,3,-7,-9.43,-10.21,1.37,1.13,1.07,1.87,1.81,1.81,1.59,0.22,-0.5,-0.68,-0.74
"6","Adam Lallana",4090,"Liverpool",2228.05,30,23,7,"Center Attacking Midfield",19,817,1046,97,153,1716.1,57,88,44,96,7,5.8,51,470,544,242,302,50,97,6,12,7,18,168,211,8,43,78.11,63.4,64.77,45.83,18.6,38.89,50,79.62,33,42.25,3.92,6.18,69.32,2.3,3.55,1.78,3.88,0.28,0.23,2.06,18.99,21.97,9.78,12.2,2.02,3.92,0.24,0.48,0.28,0.73,6.79,8.52,0.32,1.74,2,3,2,0,134,123,55,0,34,41,40,61,0,33,0,17,12,0,299.19,40,72,40,66.67,91.79,70.59,65.57,0.08,0.12,0.08,0,5.41,4.97,2.22,0,1.37,1.66,1.62,2.46,0,1.33,0,0.69,0.48,0,12.09,1.62,2.91,1.62,948,82,1495.6,60,24,43,73,49,62,36,0,163,58.9,38.29,3.31,60.41,2.42,0.97,1.74,2.95,1.98,2.5,1.45,0,6.58,42,4,26,15,0,16,26,2,16,2,0,0,3.89,3.89,0,0,0,38.1,9.52,0,7.69,12.5,162.5,0.11,1.7,0.16,1.05,0.61,0,0.65,1.05,0.08,0.65,0.08,0,0,0.16,0.16,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,3211.7,7,13,21,76,27.63,7.23,129.73,0.28,0.53,0.85,3.07,34,35.53,33.97,26,20.3,20.3,39,3,8,15.23,13.66,1.37,1.44,1.37,1.05,0.82,0.82,1.58,0.12,0.32,0.62,0.55
"7","Adam Matthews",10770,"Sunderland",44.65,1,0,1,"Right Back",2,16,19,3,4,84.5,3,3,2,3,0,0,0,3,5,3,4,10,10,1,1,1,1,1,1,1,1,84.21,75,100,66.67,100,100,100,100,32.25,38.3,6.05,8.06,170.32,6.05,6.05,4.03,6.05,0,0,0,6.05,10.08,6.05,8.06,20.16,20.16,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,3,0,2,0,0,100,0,0,0,0,0,0,4.03,4.03,0,0,2.02,0,0,4.03,0,0,0,0,0,0,6.05,0,4.03,0,15,1,39.6,1,0,0,2,0,0,0,0,0,0,30.24,2.02,79.82,2.02,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,124.1,0,0,0,0,0,8.06,250.15,0,0,0,0,2,0.94,0.94,1,0.7,0.7,0,0,1,0.24,0.24,4.03,1.89,1.89,2.02,1.4,1.4,0,0,2.02,0.49,0.49
"8","Adam Smith",6409,"AFC Bournemouth",2292.6,31,22,9,"Right Back",2,1045,1274,98,165,1876.4,62,98,25,75,0,0.63,14,592,645,354,432,80,144,0,1,9,16,98,145,12,43,82.03,59.39,63.27,33.33,27.91,56.25,0,67.59,41.02,50.01,3.85,6.48,73.66,2.43,3.85,0.98,2.94,0,0.02,0.55,23.24,25.32,13.9,16.96,3.14,5.65,0,0.04,0.35,0.63,3.85,5.69,0.47,1.69,0,1,5,0,108,101,50,0,49,35,44,67,0,38,0,27,13,0,276.93,49,56,27,0,93.52,48.15,65.67,0,0.04,0.2,0,4.24,3.96,1.96,0,1.92,1.37,1.73,2.63,0,1.49,0,1.06,0.51,0,10.87,1.92,2.2,1.06,946,94,1989.9,84,12,35,56,37,38,55,1,30,62.5,37.14,3.69,78.12,3.3,0.47,1.37,2.2,1.45,1.49,2.16,0.04,1.18,15,2,11,6,0,4,3,0,12,2,0,0,0.52,0.52,0,0,1,26.67,13.33,0,0,16.67,25,1.48,0.59,0.08,0.43,0.24,0,0.16,0.12,0,0.47,0.08,0,0,0.02,0.02,0,0,0.04,1.05,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,3866.3,0,2,33,78,42.31,7.54,151.78,0,0.08,1.3,3.06,25,24.96,22.61,36,27.89,27.89,46,0,-11,-2.93,-5.28,0.98,0.98,0.89,1.41,1.09,1.09,1.81,0,-0.43,-0.11,-0.21
"9","Adama Traoré",11333,"Aston Villa",253.25,10,0,10,"Right Wing",17,27,53,3,5,60.6,2,5,1,17,1,0.07,1,12,14,9,22,4,12,0,0,2,4,7,15,2,17,50.94,60,40,5.88,11.76,50,0,46.67,9.6,18.84,1.07,1.78,21.54,0.71,1.78,0.36,6.04,0.36,0.03,0.36,4.26,4.98,3.2,7.82,1.42,4.26,0,0,0.71,1.42,2.49,5.33,0.71,6.04,0,0,1,0,17,15,5,0,0,0,1,1,0,4,0,0,0,0,14.33,2,9,4,0,88.24,0,100,0,0,0.36,0,6.04,5.33,1.78,0,0,0,0.36,0.36,0,1.42,0,0,0,0,5.09,0.71,3.2,1.42,115,30,749.9,14,4,21,34,13,11,13,0,1,61.76,40.87,10.66,266.5,4.98,1.42,7.46,12.08,4.62,3.91,4.62,0,0.36,2,0,2,1,0,0,2,0,0,0,0,0,0.12,0.12,0,0,0,0,0,0,0,0,0,-0.12,0.71,0,0.71,0.36,0,0,0.71,0,0,0,0,0,0.04,0.04,0,0,0,0,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,810.5,0,0,0,4,0,11.73,288.04,0,0,0,1.42,4,1.23,1.23,7,3.29,3.29,3,0,-3,-2.06,-2.06,1.42,0.44,0.44,2.49,1.17,1.17,1.07,0,-1.07,-0.73,-0.73
"10","Adlène Guédioura",4828,"Watford",512.52,18,3,15,"Right Midfield",12,187,298,25,64,611.8,21,54,12,51,2,0.7,12,88,111,64,93,30,81,1,3,5,15,42,64,1,19,62.75,39.06,38.89,23.53,5.26,33.33,33.33,65.62,32.84,52.33,4.39,11.24,107.43,3.69,9.48,2.11,8.96,0.35,0.12,2.11,15.45,19.49,11.24,16.33,5.27,14.22,0.18,0.53,0.88,2.63,7.38,11.24,0.18,3.34,0,2,2,0,45,40,10,0,8,8,9,17,0,14,0,16,12,0,42.24,22,23,10,0,88.89,75,52.94,0,0.35,0.35,0,7.9,7.02,1.76,0,1.4,1.4,1.58,2.99,0,2.46,0,2.81,2.11,0,7.42,3.86,4.04,1.76,240,6,137.7,9,3,15,25,10,13,7,0,6,60,42.14,1.05,24.18,1.58,0.53,2.63,4.39,1.76,2.28,1.23,0,1.05,13,0,10,2,0,3,3,0,10,0,0,0,0.31,0.31,0,0,0,23.08,0,0,0,0,30,-0.31,2.28,0,1.76,0.35,0,0.53,0.53,0,1.76,0,0,0,0.05,0.05,0,0,0,4.05,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,749.5,1,0,18,35,51.43,5.44,131.62,0.18,0,3.16,6.15,5,6.73,5.95,11,10.58,10.58,20,0,-6,-3.85,-4.63,0.88,1.18,1.04,1.93,1.86,1.86,3.51,0,-1.05,-0.68,-0.81
